File output_ga/ga_setpack_inertia,csv
elapsed_time;max_gen_reached
29,227558;False
corr_threshold;cxpb;divfac;divstep;elsize;k;lang;max_no_improv;maxs;metric;mincxpb;mins;mutpb;ngen;pltfile;pltvar;pop;save_log;seed;selec;toursize;verbose;wo
0,75;0,8;0,5;0,1;0,5;10;pt;0,2;6;i;0,8;3;0,02;300;None;False;50;True;-1;bin;0,2;True;False
Elite
evaluation;kills;deaths;assists;denies;gold_per_min;xp_per_min;hero_damage;hero_healing;last_hits;origin;generation
44,458638;0;0;1;1;0;0;1;0;0;crossover;12
48,826872;0;1;0;1;0;0;1;0;0;initial;0
49,292465;0;1;1;0;0;1;0;0;0;crossover;27
49,444487;0;1;1;0;1;0;0;0;0;initial;0
49,911842;0;1;1;0;0;0;0;0;1;initial;0
51,270128;1;1;0;1;0;0;0;0;0;initial;0
55,096397;1;1;1;0;0;0;0;0;0;initial;0
55,623471;0;1;1;0;0;0;1;0;0;crossover;5
55,688769;0;1;1;1;0;0;0;0;0;initial;0
55,746648;0;0;1;0;0;1;0;1;0;initial;0
56,720935;0;0;1;0;0;0;0;1;1;crossover;21
56,953084;0;1;0;0;0;1;0;1;0;initial;0
57,868501;0;0;1;0;1;0;0;1;0;crossover;14
59,650410;0;0;1;0;0;0;1;1;0;initial;0
59,698363;0;1;0;0;0;0;0;1;1;initial;0
60,899631;0;0;1;1;0;0;0;1;0;crossover;3
62,384445;1;1;0;0;0;0;0;1;0;crossover;19
63,290807;0;1;1;0;0;0;0;1;0;initial;0
64,204973;0;1;0;1;0;0;0;1;0;crossover;10
64,271157;0;1;0;0;0;0;1;1;0;crossover;66
86,417393;0;1;1;1;0;0;1;0;0;initial;0
87,696558;1;1;1;1;0;0;0;0;0;initial;0
92,711643;0;0;1;1;0;0;1;1;0;mutation;1
97,777043;0;1;1;0;0;1;0;1;0;initial;0
99,396787;0;1;1;0;1;0;0;1;0;initial;0
Last Generation
evaluation;kills;deaths;assists;denies;gold_per_min;xp_per_min;hero_damage;hero_healing;last_hits;origin;generation
44,458638;0;0;1;1;0;0;1;0;0;crossover;12
44,458638;0;0;1;1;0;0;1;0;0;crossover;72
44,458638;0;0;1;1;0;0;1;0;0;crossover;72
44,458638;0;0;1;1;0;0;1;0;0;crossover;72
44,458638;0;0;1;1;0;0;1;0;0;crossover;72
44,458638;0;0;1;1;0;0;1;0;0;crossover;72
44,458638;0;0;1;1;0;0;1;0;0;crossover;72
44,458638;0;0;1;1;0;0;1;0;0;crossover;72
48,826872;0;1;0;1;0;0;1;0;0;initial;0
48,826872;0;1;0;1;0;0;1;0;0;crossover;72
49,292465;0;1;1;0;0;1;0;0;0;crossover;27
49,444487;0;1;1;0;1;0;0;0;0;initial;0
49,444487;0;1;1;0;1;0;0;0;0;crossover;72
49,911842;0;1;1;0;0;0;0;0;1;initial;0
49,911842;0;1;1;0;0;0;0;0;1;crossover;72
49,911842;0;1;1;0;0;0;0;0;1;crossover;72
49,911842;0;1;1;0;0;0;0;0;1;crossover;72
49,911842;0;1;1;0;0;0;0;0;1;crossover;71
51,270128;1;1;0;1;0;0;0;0;0;initial;0
55,096397;1;1;1;0;0;0;0;0;0;initial;0
55,096397;1;1;1;0;0;0;0;0;0;crossover;72
55,096397;1;1;1;0;0;0;0;0;0;crossover;72
55,623471;0;1;1;0;0;0;1;0;0;crossover;5
55,623471;0;1;1;0;0;0;1;0;0;crossover;72
55,688769;0;1;1;1;0;0;0;0;0;initial;0
55,746648;0;0;1;0;0;1;0;1;0;initial;0
55,746648;0;0;1;0;0;1;0;1;0;crossover;72
55,746648;0;0;1;0;0;1;0;1;0;crossover;72
55,746648;0;0;1;0;0;1;0;1;0;crossover;72
55,746648;0;0;1;0;0;1;0;1;0;crossover;72
55,746648;0;0;1;0;0;1;0;1;0;initial;0
56,720935;0;0;1;0;0;0;0;1;1;crossover;21
56,953084;0;1;0;0;0;1;0;1;0;initial;0
57,868501;0;0;1;0;1;0;0;1;0;crossover;14
57,868501;0;0;1;0;1;0;0;1;0;crossover;72
59,650410;0;0;1;0;0;0;1;1;0;initial;0
59,650410;0;0;1;0;0;0;1;1;0;crossover;72
59,698363;0;1;0;0;0;0;0;1;1;initial;0
59,698363;0;1;0;0;0;0;0;1;1;crossover;72
60,899631;0;0;1;1;0;0;0;1;0;crossover;3
62,384445;1;1;0;0;0;0;0;1;0;crossover;19
63,290807;0;1;1;0;0;0;0;1;0;initial;0
63,290807;0;1;1;0;0;0;0;1;0;crossover;72
64,204973;0;1;0;1;0;0;0;1;0;crossover;10
64,271157;0;1;0;0;0;0;1;1;0;crossover;66
86,417393;0;1;1;1;0;0;1;0;0;initial;0
87,696558;1;1;1;1;0;0;0;0;0;initial;0
92,711643;0;0;1;1;0;0;1;1;0;mutation;1
97,777043;0;1;1;0;0;1;0;1;0;initial;0
99,396787;0;1;1;0;1;0;0;1;0;initial;0
