File files/output_ga/ga_setpack_variance_outliers_log,csv
elapsed_time;max_gen_reached
2,367530;False
corr_threshold;cxpb;divfac;divstep;elsize;k;lang;max_no_improv;maxs;metric;mincxpb;mins;mutpb;ngen;pltfile;pltvar;pop;save_log;seed;selec;toursize;verbose;wo
0,75;0,8;0,5;0,1;0,5;10;pt;0,2;6;v;0,8;3;0,02;300;None;False;50;True;-1;bin;0,2;True;True
Solutions
evaluation;assists;deaths;denies;gpm;hd;hh;kills;lh;xpm;origin;generation
0,008211;1;0;1;1;0;1;0;0;0;initial;0
0,007025;1;1;0;1;1;0;0;0;0;initial;0
0,007857;1;1;1;1;1;1;0;0;0;initial;0
0,001230;0;0;0;1;0;1;1;0;0;initial;0
0,014170;0;0;1;0;0;1;0;1;0;initial;0
0,006309;1;1;1;1;0;1;0;0;1;initial;0
0,006055;1;1;0;1;1;1;0;0;0;initial;0
0,006126;0;0;1;1;0;0;1;0;0;initial;0
0,001713;0;1;0;1;0;0;0;0;1;initial;0
0,008885;1;1;0;0;0;1;1;1;0;initial;0
0,010389;0;1;1;0;1;0;0;0;0;initial;0
0,007983;1;0;1;1;0;0;0;0;1;initial;0
0,009614;1;0;1;1;0;1;1;1;0;initial;0
0,011208;1;1;1;0;1;0;0;0;0;initial;0
0,004860;0;1;1;1;0;1;1;0;0;initial;0
0,013903;0;0;1;0;0;0;1;1;0;initial;0
0,010599;1;0;1;0;0;0;0;0;1;initial;0
0,006634;1;0;0;1;1;1;0;0;0;initial;0
0,006179;0;1;0;1;0;1;1;1;0;initial;0
0,005326;1;0;0;1;0;1;0;0;0;initial;0
0,009794;0;1;0;0;0;1;0;1;0;initial;0
0,005021;1;0;0;1;0;0;0;0;1;initial;0
0,001858;0;1;0;1;0;1;1;0;0;initial;0
0,006845;1;0;1;1;0;1;1;0;0;initial;0
0,006771;0;0;1;0;0;1;0;0;1;initial;0
0,013844;1;0;1;0;0;0;1;1;0;initial;0
0,001830;0;1;0;1;0;1;0;0;1;initial;0
0,006696;0;1;1;1;1;1;0;0;0;initial;0
0,008592;0;0;0;1;0;1;0;1;0;initial;0
0,011983;1;1;1;0;0;1;0;1;0;initial;0
0,009402;1;1;1;0;1;1;0;0;0;initial;0
0,010171;1;0;0;0;0;1;1;1;0;initial;0
0,007427;1;1;0;1;0;1;1;1;0;initial;0
0,007536;1;1;0;0;1;1;0;0;0;initial;0
0,006822;1;0;1;1;0;1;0;0;1;initial;0
0,014044;1;0;1;0;0;1;0;1;0;initial;0
0,006224;1;1;0;0;0;0;0;0;1;initial;0
0,002433;0;1;0;0;0;1;1;0;0;initial;0
0,004837;0;1;1;1;0;1;0;0;1;crossover;1
0,011511;1;0;1;0;0;1;1;1;0;crossover;1
0,004701;1;1;0;1;0;0;0;0;1;crossover;1
0,005139;0;0;1;1;0;1;1;0;0;crossover;1
0,006327;1;1;1;1;0;1;1;0;0;crossover;1
-0,681401;1;1;1;0;1;1;0;1;0;crossover;1
0,005703;1;0;0;0;0;1;0;0;1;crossover;2
0,011102;1;0;1;1;0;0;1;1;0;crossover;2
0,011823;1;1;1;0;0;0;1;1;0;crossover;2
0,008681;1;0;1;1;1;1;0;0;0;crossover;2
0,010637;1;0;1;0;0;0;1;0;0;crossover;2
-0,679488;1;1;1;0;1;0;0;1;0;crossover;2
0,007825;0;1;1;1;1;0;0;0;0;crossover;2
0,006393;0;0;1;1;0;1;0;0;0;crossover;2
0,010904;1;0;1;0;0;1;0;0;0;crossover;3
-0,685839;1;1;0;0;1;0;0;0;1;crossover;3
0,008522;1;0;1;0;0;1;1;0;0;crossover;3
-0,679489;0;1;1;0;1;0;0;1;0;crossover;3
0,010818;1;0;1;0;1;1;0;0;0;crossover;3
0,009860;1;0;0;1;0;1;0;1;0;crossover;3
0,013697;1;0;1;0;1;0;0;0;0;crossover;4
0,007291;0;1;1;0;0;0;0;0;1;crossover;4
0,008913;1;1;1;0;0;0;1;0;0;crossover;4
0,011363;0;1;1;0;0;0;1;1;0;crossover;4
0,010306;1;0;1;1;1;0;0;0;0;crossover;4
0,009868;0;0;1;0;1;1;0;0;0;crossover;5
-0,677008;1;0;1;0;1;0;0;1;0;crossover;8
0,017999;1;0;1;0;0;0;0;1;0;crossover;9
0,014691;0;1;1;0;0;0;0;1;0;crossover;9
0,010972;0;0;1;0;0;1;1;1;0;crossover;9
-0,689161;0;0;0;1;1;0;0;0;1;diversification;10
-0,689613;0;0;0;1;1;1;0;0;1;diversification;10
-0,689572;0;1;0;1;1;1;0;0;1;diversification;10
-1,381170;1;1;0;1;1;0;1;0;1;diversification;10
-0,689222;0;1;0;1;1;0;0;0;1;diversification;10
-1,382879;0;1;0;1;1;0;1;0;1;diversification;10
-1,091338;1;1;0;1;0;0;1;1;1;diversification;10
-1,382960;0;0;0;1;1;0;1;0;1;diversification;10
0,008337;0;1;1;0;1;1;0;0;0;crossover;11
0,010216;1;1;1;0;0;1;1;1;0;mutation;12
-0,684853;1;0;1;0;0;0;1;0;1;crossover;12
0,010461;0;0;1;1;0;0;1;1;0;crossover;13
-0,681347;1;1;1;0;0;0;0;1;1;mutation;14
0,014434;1;1;1;0;0;0;0;1;0;crossover;15
0,009526;0;1;1;0;0;1;1;1;0;crossover;15
-1,383085;0;1;0;1;1;1;1;0;1;diversification;20
-1,381431;1;0;0;1;1;1;1;0;1;diversification;20
-0,687274;1;1;0;1;1;0;0;0;1;diversification;20
-1,093252;0;1;0;1;0;1;1;1;1;diversification;20
-1,383191;0;0;0;1;1;1;1;0;1;diversification;20
-0,687890;1;1;0;1;1;1;0;0;1;diversification;20
-1,092207;0;1;0;0;0;1;1;1;1;diversification;20
-1,090049;1;0;0;1;1;1;1;1;0;crossover;21
0,008885;1;1;1;0;0;0;0;0;1;crossover;21
-1,933798;1;0;0;0;1;0;0;0;0;mutation;22
0,013488;0;0;1;1;0;0;0;1;0;crossover;23
0,011563;0;1;1;0;0;1;0;1;0;crossover;24
-1,933489;0;0;0;0;0;0;1;1;0;mutation;24
0,009875;1;1;1;1;0;0;1;1;0;crossover;26
0,011262;1;0;1;1;0;1;0;1;0;crossover;26
-0,687587;1;0;0;1;1;1;0;0;1;diversification;30
-1,380830;1;1;0;0;1;1;1;0;1;diversification;30
0,007329;0;1;1;0;0;0;1;0;0;crossover;31
0,011425;1;1;1;0;0;0;0;0;0;crossover;32
-1,930644;1;0;1;0;0;0;0;0;0;mutation;33
0,009187;0;0;1;1;1;0;0;0;0;crossover;34
0,010661;0;0;1;1;0;1;0;1;0;crossover;39
-1,382058;0;1;0;0;1;0;1;0;1;diversification;40
-0,679800;1;0;1;0;1;1;0;1;0;crossover;41
0,007596;0;1;1;0;0;1;0;0;0;crossover;43
0,010008;1;1;1;1;0;1;0;1;0;crossover;45
-1,087410;0;1;1;0;1;0;1;1;0;mutation;45
-0,680391;0;0;1;1;1;0;0;1;0;mutation;45
0,009277;0;1;1;1;0;1;0;1;0;crossover;49
-1,941207;1;1;0;1;1;1;1;0;1;diversification;50
-0,687356;0;1;1;1;1;1;0;0;1;diversification;50
-1,380894;1;0;0;1;1;0;1;0;1;diversification;50
-0,684240;1;0;1;0;1;1;0;0;1;crossover;51
0,007544;1;1;1;0;0;1;0;0;1;crossover;52
-1,925745;0;0;1;0;0;0;0;1;0;mutation;56
0,006808;0;0;1;0;0;1;1;0;0;mutation;56
0,013532;1;0;1;1;0;0;0;1;0;crossover;56
-0,688711;0;1;0;0;1;1;0;0;1;diversification;60
-0,687564;1;0;0;1;1;1;1;0;0;crossover;61
-0,681813;0;1;1;0;0;0;0;1;1;crossover;61
0,013102;1;0;0;0;0;1;0;1;0;crossover;61
-1,380637;0;1;1;1;1;0;1;0;1;crossover;61
-1,935606;0;1;1;0;0;0;0;0;0;mutation;63
0,011574;1;1;1;1;0;0;0;1;0;crossover;67
